Episode,Duration_Min,Total_Reward,Avg_Queue,Max_Queue,Avg_Waiting_Time,Avg_Speed,Throughput,Phase_Switches,Epsilon,Q_Table_Size
1,83.33333333333333,-4878.262405731955,54.45569620253165,72,21.93840822832869,0.5720283166322189,259,81,-,-
2,83.33333333333333,-5576.860599067015,54.0314465408805,70,20.055758635836245,0.5832245350652163,295,76,-,-
3,83.33333333333333,-5728.181299815369,53.87341772151899,70,20.07432583108924,0.5851941070255253,293,82,-,-
4,83.33333333333333,-5289.542743921058,54.175,71,21.062813761993613,0.5740287256751746,326,66,-,-
5,83.33333333333333,-5966.706082405888,53.874213836477985,72,21.196853265800648,0.5829014233988074,302,79,-,-
6,83.33333333333333,-5810.687693051959,54.52564102564103,69,24.617342301361997,0.579162312485206,293,106,-,-
7,83.33333333333333,-5239.4907105196635,55.57324840764331,71,24.44576151016163,0.5521095512546087,311,95,-,-
8,83.33333333333333,-5555.713788093032,54.51923076923077,70,25.138493511203613,0.575215281614122,280,103,-,-
9,83.33333333333333,-4637.368029346897,55.5253164556962,71,26.17085889932861,0.5593729946080569,309,81,-,-
10,83.33333333333333,-6196.109411149333,54.82051282051282,71,24.38785692971438,0.5624431782988649,274,104,-,-
11,83.33333333333333,-5175.342805204739,54.70700636942675,71,24.361212105065626,0.5641261272654502,300,92,-,-
12,83.33333333333333,-5280.341009146132,54.436708860759495,69,25.061440376569735,0.5775348371242475,317,88,-,-
13,83.33333333333333,-4756.129288783015,55.503184713375795,70,24.42693654700669,0.552816047631775,313,90,-,-
14,83.33333333333333,-5568.718941040545,54.388535031847134,68,24.71832196404172,0.5851168864332428,296,92,-,-
15,83.33333333333333,-4828.225609990517,55.205128205128204,70,28.508811066878362,0.5728018225242537,313,105,-,-
16,83.33333333333333,-4881.121875934492,54.92356687898089,70,25.46733660552718,0.5685929842009657,309,91,-,-
17,83.33333333333333,-5411.145464756891,54.406451612903226,69,28.1873163906734,0.5887722739081852,266,115,-,-
18,83.33333333333333,-5314.818698760223,55.166666666666664,70,30.693283399962485,0.5765004812557786,301,106,-,-
19,83.33333333333333,-4767.688033654117,55.40127388535032,72,30.834464746238652,0.572204858169585,325,98,-,-
