Episode,Duration_Min,Total_Reward,Avg_Queue,Max_Queue,Avg_Waiting_Time,Avg_Speed,Throughput,Phase_Switches,Epsilon,Q_Table_Size
1,83.33333333333333,-1526.6871510528047,14.48407643312102,23,13.94957070783168,1.0015400237471312,201,91,-,-
2,83.33333333333333,-1936.129339958945,14.51592356687898,26,14.863416983478665,0.9946584462294635,205,91,-,-
3,83.33333333333333,-1585.8441815893198,14.169811320754716,23,13.37107015000057,1.0278829650262142,241,70,-,-
4,83.33333333333333,-1751.9364974745713,13.898089171974522,22,14.503240898134377,1.0276043378732271,230,97,-,-
5,83.33333333333333,-1480.8453379467642,13.89240506329114,23,13.674585626598176,1.028540360885421,243,86,-,-
6,83.33333333333333,-1796.3577058150643,14.21875,24,13.521821450861566,1.0194303018057784,232,67,-,-
7,83.33333333333333,-1181.5324010371237,13.943037974683545,24,12.409314431771596,1.0416650930884388,237,81,-,-
8,83.33333333333333,-1619.348244221816,13.75,23,12.354485170234618,1.0558852799187926,244,63,-,-
9,83.33333333333333,-1466.2457612465935,14.29746835443038,24,14.785649695642256,1.0169023625236842,239,83,-,-
10,83.33333333333333,-1651.1569650107103,14.176100628930818,21,14.147243175448628,1.0185569948165407,215,78,-,-
11,83.33333333333333,-1147.314019172814,13.89308176100629,23,13.887621362574853,1.0138074474319876,226,77,-,-
12,83.33333333333333,-1673.1105163993248,14.905063291139241,24,15.315854438573774,0.9836860834076208,209,90,-,-
13,83.33333333333333,-1389.664189233293,14.183544303797468,20,14.259889595899587,0.995510045825682,226,89,-,-
14,83.33333333333333,-1530.3336121143036,14.2625,24,14.288207358767597,1.003994089961063,234,69,-,-
15,83.33333333333333,-1656.8903010312972,15.183544303797468,23,17.25564377439354,0.9602746018548505,233,89,-,-
16,83.33333333333333,-1578.2536068299873,14.215189873417721,22,15.598558761024945,0.9963220227183519,229,83,-,-
17,83.33333333333333,-1732.9835276741806,14.91139240506329,27,16.19109745056042,0.9698301003842904,225,83,-,-
18,83.33333333333333,-1387.1945153533386,15.329192546583851,26,15.495815927220042,0.9595523520901149,250,50,-,-
19,83.33333333333333,-1642.6270821138949,14.49375,23,14.19117225379764,0.9902164611730754,223,64,-,-
20,83.33333333333333,-1912.724430421258,14.735849056603774,25,15.216362765969794,0.9832750317561277,210,72,-,-
