Episode,Duration_Min,Total_Reward,Avg_Queue,Max_Queue,Avg_Waiting_Time,Avg_Speed,Throughput,Phase_Switches,Epsilon,Q_Table_Size
1,83.33333333333333,-5397.374016225842,37.68789808917197,48,25.60674629522507,0.6244377983558035,168,98,-,-
2,83.33333333333333,-5318.928837940589,38.205128205128204,48,25.14815547332834,0.6234484172267236,207,103,-,-
3,83.33333333333333,-4727.039376590603,37.717948717948715,48,27.52529261799297,0.6256049606076112,236,106,-,-
4,83.33333333333333,-4632.5351712818,38.11464968152866,49,30.05487993668997,0.6151846782522848,216,98,-,-
5,83.33333333333333,-4844.528081268649,37.57692307692308,50,25.40367251166482,0.6300210533289664,233,101,-,-
6,83.33333333333333,-5677.0883876213575,37.83974358974359,50,30.039186541929883,0.6357702441423447,213,108,-,-
7,83.33333333333333,-4252.654632500697,36.782051282051285,48,23.64480513514492,0.6426188817344569,226,108,-,-
8,83.33333333333333,-4184.801472219724,37.62420382165605,51,26.30565487576259,0.6403131322599026,212,97,-,-
9,83.33333333333333,-3153.488068707622,37.13375796178344,49,22.388278874526797,0.6457301960629038,232,91,-,-
10,83.33333333333333,-3952.1967281505254,37.14102564102564,50,26.148523907166208,0.6404033568463819,234,103,-,-
11,83.33333333333333,-4766.878955783189,37.44230769230769,49,28.332422602287505,0.6230742940966669,221,109,-,-
12,83.33333333333333,-5267.219945791667,37.01282051282051,49,24.907960669075365,0.6435834629981674,205,102,-,-
13,83.33333333333333,-4822.323291998064,38.333333333333336,49,30.633402272037973,0.610550862695327,221,110,-,-
14,83.33333333333333,-4890.024154450899,37.611464968152866,48,25.68311063091505,0.6330081022969232,193,92,-,-
15,83.33333333333333,-5243.601142158207,39.23717948717949,49,35.62193819889899,0.5878453913945052,263,102,-,-
16,83.33333333333333,-5985.958713284925,38.55769230769231,49,32.30348919991051,0.6109653113511334,229,105,-,-
17,83.33333333333333,-5794.535087804378,37.94904458598726,50,32.26101521198325,0.622780560320813,215,99,-,-
18,83.33333333333333,-5992.712906120397,37.61392405063291,48,29.500104824701847,0.6375981679890238,182,89,-,-
19,83.33333333333333,-6033.181928004767,38.37341772151899,49,31.844610478839023,0.6185552449359362,225,86,-,-
20,83.33333333333333,-5615.0875930991315,37.484276729559745,48,30.344725849722025,0.644657070809597,195,78,-,-
