Episode,Duration_Minutes,Total_Reward,Avg_Queue_Length,Max_Queue_Length,Total_Waiting_Time,Avg_Waiting_Time,Phase_Switches,Throughput,Avg_Speed,Epsilon,Q_Table_Size,Vehicles_Processed,Efficiency_Score
42,0.3038312315940857,-9039.584093655569,5.647058823529412,24,169022.0,18.34086398672095,32,0,0.5588493481429344,0.04999916370086185,10626,0,0.0
43,0.29516492287317914,-8819.382117560053,5.481203007518797,24,159694.0,18.266553485546986,34,0,0.5645318164786065,0.04999916370086185,10842,0,0.0
44,0.3014225085576375,-8860.192996224627,5.48021582733813,24,171613.0,19.153199402321963,31,0,0.5557129256160597,0.04999916370086185,11063,0,0.0
45,0.2989223798116048,-8987.37822405227,5.74160447761194,24,170135.0,18.61155513895516,31,0,0.5494857163563469,0.04999916370086185,11283,0,0.0
46,0.32312935988108316,-9305.34273778222,5.628703703703704,24,170529.0,18.773145567621132,31,0,0.5627589854156309,0.04999916370086185,11498,0,0.0
47,0.3035226066907247,-8566.924310317047,5.515682656826568,24,170669.0,19.165765809379135,40,0,0.5649814732833552,0.04999916370086185,11718,0,0.0
48,0.30699008305867515,-9002.061404275952,5.641025641025641,24,175861.0,19.456220589256265,34,0,0.5579872000728646,0.04999916370086185,11942,0,0.0
49,0.2975585619608561,-8806.616390927418,5.499077490774908,24,167074.0,18.748375235219616,33,0,0.5698018432758981,0.04999916370086185,12165,0,0.0
50,0.3062279224395752,-8858.219666575033,5.545955882352941,24,171477.0,18.798093692131232,28,0,0.5734030254514029,0.04999916370086185,12389,0,0.0
51,0.3018001914024353,-9193.123099448167,5.616666666666666,24,172640.0,19.01784791537572,31,0,0.5642571912941119,0.04999916370086185,12817,0,0.0
52,0.30625772873560586,-9670.08324693567,5.828413284132841,24,177747.0,18.935312802655332,29,0,0.5407550500556868,0.04999916370086185,13050,0,0.0
53,0.296420951684316,-9229.301289030378,5.6716417910447765,24,172398.0,18.975780677454626,30,0,0.5569617496978805,0.04999916370086185,13267,0,0.0
54,0.30048607190450033,-9185.077007260148,5.785977859778598,24,174724.0,18.553455048837176,28,0,0.5538878618335062,0.04999916370086185,13489,0,0.0
55,0.3029169162114461,-9541.55703275325,5.844216417910448,24,176333.0,18.95018313193975,32,0,0.544348185271023,0.04999916370086185,13695,0,0.0
56,0.29879131317138674,-9059.011200383387,5.711895910780669,24,173196.0,18.911324422776328,40,0,0.565035182558563,0.04999916370086185,13899,0,0.0
57,0.296440064907074,-9149.441775387793,5.654981549815498,24,173173.0,19.4410616884633,34,0,0.5468674547021461,0.04999916370086185,14118,0,0.0
58,0.30388728380203245,-9066.2693251026,5.505514705882353,24,168145.0,18.729948830220845,33,0,0.5672120696258391,0.04999916370086185,14332,0,0.0
59,0.3005845069885254,-8745.900481787376,5.686813186813187,24,174348.0,18.9353602064338,32,0,0.5529173310264623,0.04999916370086185,14532,0,0.0
60,0.301809024810791,-9386.385179796847,5.639405204460966,24,166275.0,18.513375415037917,29,0,0.5492545239566661,0.04999916370086185,14754,0,0.0
61,0.2959666689236959,-8815.421511722288,5.563186813186813,24,167299.0,18.44947076887917,29,0,0.5574593725087958,0.04999916370086185,14964,0,0.0
62,0.29115704298019407,-9499.586597410504,5.520754716981132,24,158326.0,17.812119039176714,35,0,0.57821703729823,0.04999916370086185,15171,0,0.0
63,0.29815256198247275,-9309.911947925759,5.660112359550562,24,167037.0,18.31074752816246,30,0,0.5579067749625223,0.04999916370086185,15385,0,0.0
64,0.29574418465296426,-9429.193775394115,5.691231343283582,24,168657.0,18.647644241222867,38,0,0.5557098262551636,0.04999916370086185,15591,0,0.0
65,0.29659870465596516,-9575.606829017359,5.782075471698113,24,172675.0,18.74895706234426,32,0,0.5638211632220212,0.04999916370086185,15803,0,0.0
66,0.2945655345916748,-9382.489897116186,5.614661654135339,24,163300.0,18.17735454380601,33,0,0.569463247678132,0.04999916370086185,16026,0,0.0
67,0.31258261601130166,-9655.146732809597,5.956928838951311,24,182627.0,19.094382495014266,40,0,0.546637139503502,0.04999916370086185,16235,0,0.0
68,0.30218348900477093,-9150.997877302298,5.714022140221402,24,176735.0,19.241221102070277,37,0,0.5487290412075475,0.04999916370086185,16443,0,0.0
69,0.2973539113998413,-9145.317616558086,5.621268656716418,24,171328.0,19.14116685815138,42,0,0.5623555501613999,0.04999916370086185,16643,0,0.0
70,0.30005162159601845,-9514.744700486322,5.7221189591078065,24,173592.0,18.990341068567748,35,0,0.551590583610411,0.04999916370086185,16861,0,0.0
71,0.3022453387578328,-9235.818311438195,5.768656716417911,24,177561.0,19.168248296756662,39,0,0.5668828704425942,0.04999916370086185,17060,0,0.0
72,0.3001453240712484,-9314.60760814328,5.656367041198502,24,171680.0,19.27543795637638,38,0,0.5514744565516468,0.04999916370086185,17248,0,0.0
73,0.29603141943613687,-9711.811508743238,5.89367816091954,24,173702.0,18.627590896665186,40,0,0.5687670801657523,0.04999916370086185,17447,0,0.0
74,0.2947853485743205,-9593.054798949192,5.7831439393939394,24,173047.0,18.59647515149659,40,0,0.575036028748114,0.04999916370086185,17651,0,0.0
75,0.2982072869936625,-9292.784981240591,5.745335820895522,24,177297.0,19.113697711201603,36,0,0.5633494016840896,0.04999916370086185,17859,0,0.0
76,0.3013722856839498,-9382.872775785761,5.806083650190114,24,177262.0,19.39073859956703,40,0,0.5734303301894622,0.04999916370086185,18260,0,0.0
77,0.29560966889063517,-9239.668984974162,5.653558052434457,24,165783.0,18.246282867267613,33,0,0.5663854039793329,0.04999916370086185,18470,0,0.0
78,0.31413265069325763,-9033.07652657491,5.921480144404332,24,191254.0,19.753212145038407,38,0,0.5322980073345973,0.04999916370086185,18687,0,0.0
79,0.32898547252019245,-9296.256543232194,5.851679104477612,24,179788.0,19.516290355424815,38,0,0.5498757883082939,0.04999916370086185,18896,0,0.0
80,0.2921086470286051,-9117.224087421046,5.56015037593985,24,163074.0,18.088879925060123,36,0,0.5747659260968966,0.04999916370086185,19096,0,0.0
81,0.30086456537246703,-9531.964432738343,5.860074626865671,24,176022.0,18.694624220277394,35,0,0.5518326210807347,0.04999916370086185,19304,0,0.0
82,0.29764754374821983,-9398.40532772231,5.802830188679246,24,173402.0,18.67437639114602,36,0,0.5633216154302046,0.04999916370086185,19512,0,0.0
83,0.30661309162775674,-9862.877654003847,6.041666666666667,24,182156.0,18.91844435376037,32,0,0.5315830366416769,0.04999916370086185,19734,0,0.0
84,0.3075108011563619,-9638.562527059981,5.754752851711027,24,170056.0,18.437741313973298,40,0,0.5713618422145132,0.04999916370086185,19923,0,0.0
85,0.3047806660334269,-9684.661903898927,5.962406015037594,24,184539.0,19.85720587326203,38,0,0.5362460245154849,0.04999916370086185,20130,0,0.0
86,0.3020484248797099,-9843.99062282342,5.840823970037453,24,177869.0,19.324600623729513,38,0,0.5436005686924943,0.04999916370086185,20339,0,0.0
87,0.2921656608581543,-9275.595629642474,5.745247148288973,24,170804.0,18.692167636036707,40,0,0.5714835887369767,0.04999916370086185,20542,0,0.0
88,0.30354482332865396,-10015.133468005686,5.754716981132075,24,168119.0,18.130053471594177,36,0,0.5648288133201804,0.04999916370086185,20752,0,0.0
89,0.3242384751637777,-9072.534390226183,5.643536121673004,24,169567.0,19.075140677034945,43,0,0.5685354368055908,0.04999916370086185,20946,0,0.0
90,0.5663957436879475,-9748.55805840193,5.87781954887218,24,180407.0,19.377831824945318,40,0,0.5525715889757733,0.04999916370086185,21140,0,0.0
91,0.512037185827891,-9363.431297934854,5.56083650190114,24,164005.0,18.475647513426765,39,0,0.5762812920528034,0.04999916370086185,21336,0,0.0
92,0.2999528368314107,-9460.444783133746,5.602059925093633,24,167299.0,18.389270491829485,40,0,0.5728098023013062,0.04999916370086185,21529,0,0.0
93,0.29456464846928915,-9315.55051567301,5.529411764705882,24,170272.0,18.777543949698153,41,0,0.5652383908424333,0.04999916370086185,21725,0,0.0
94,0.2889465928077698,-9589.768776866735,5.677083333333333,24,166465.0,18.376917032693182,39,0,0.56389059525138,0.04999916370086185,21926,0,0.0
95,0.2894633213678996,-9248.308529559381,5.666981132075471,24,172193.0,18.9701886725742,44,0,0.5757039695291802,0.04999916370086185,22127,0,0.0
96,0.29973613818486533,-9134.96765820706,5.75,24,179018.0,19.62475407119276,46,0,0.5408272273861394,0.04999916370086185,22334,0,0.0
97,0.29265947739283243,-9268.295667503628,5.765037593984962,24,179250.0,19.741528698400842,42,0,0.550643720552868,0.04999916370086185,22532,0,0.0
98,0.29984601338704425,-9423.32866158706,5.702425373134329,24,175990.0,19.18547221312896,40,0,0.5631146147634437,0.04999916370086185,22721,0,0.0
99,0.2957643151283264,-9120.294809204139,5.726679104477612,24,172242.0,18.70164221641041,36,0,0.558530166466531,0.04999916370086185,22925,0,0.0
100,0.28906718095143635,-9243.765641024891,5.648698884758364,24,174754.0,19.46395430960547,35,0,0.5594237899409247,0.04999916370086185,23129,0,0.0
101,0.2951014677683512,-9579.024305692637,5.803903345724907,24,180301.0,19.54638043079922,39,0,0.5516315381403688,0.04999916370086185,23495,0,0.0
102,0.28767521381378175,-8878.815676082104,5.669172932330827,24,169862.0,19.074825854664937,38,0,0.5567300329480813,0.04999916370086185,23695,0,0.0
103,0.29677390654881797,-9540.62992448481,5.936068702290076,24,177543.0,19.423785613634458,42,0,0.554567155401874,0.04999916370086185,23891,0,0.0
104,0.3622804482777913,-9611.234009449967,5.600760456273764,24,163634.0,18.52839376913453,42,0,0.5666397166508436,0.04999916370086185,24081,0,0.0
105,0.4319117148717245,-9950.412861942648,5.952651515151516,24,179660.0,19.323908626779165,43,0,0.5492509812654249,0.04999916370086185,24275,0,0.0
106,0.3665990789731344,-9248.856774023465,5.615019011406844,24,168505.0,18.88451500239853,40,0,0.5759357123069894,0.04999916370086185,24473,0,0.0
107,0.3614721457163493,-9264.311270510862,5.466085271317829,24,156894.0,17.894633042157988,40,0,0.5971546237025351,0.04999916370086185,24645,0,0.0
108,0.3854856212933858,-9199.481554818109,5.73501872659176,24,180257.0,19.761294323244375,43,0,0.5608916868501932,0.04999916370086185,24846,0,0.0
109,0.3839286247889201,-9596.177419419979,5.845370370370371,24,179177.0,19.053252128810367,39,0,0.5479338373515448,0.04999916370086185,25049,0,0.0
110,0.3768792072931925,-9500.880746050481,5.65566037735849,24,168232.0,18.48757043636685,44,0,0.5780421923736632,0.04999916370086185,25240,0,0.0
111,0.374910565217336,-9635.489975476934,5.773408239700374,24,182086.0,20.048786614598782,46,0,0.5501707558598868,0.04999916370086185,25435,0,0.0
112,0.3840253472328186,-9695.465540600493,5.9559386973180075,24,174894.0,18.619438211999746,40,0,0.559961588817525,0.04999916370086185,25636,0,0.0
113,0.37284375429153443,-9594.25201387903,5.725868725868726,24,172563.0,19.43573339185329,55,0,0.5687823771042568,0.04999916370086185,25824,0,0.0
114,0.4121362566947937,-9239.035478998972,5.809040590405904,24,182472.0,19.463650631654726,40,0,0.5429053763579191,0.04999916370086185,26027,0,0.0
115,0.3710823059082031,-9600.289313473686,5.678571428571429,24,169537.0,18.98217334709432,43,0,0.5810989280992744,0.04999916370086185,26210,0,0.0
116,0.3903693199157715,-9624.36635496712,5.7889733840304185,24,179811.0,19.552863847701158,48,0,0.571110377500728,0.04999916370086185,26401,0,0.0
117,0.3743107398351034,-9489.854514826588,5.670454545454546,24,176787.0,19.87626231079177,54,0,0.5624107601164561,0.04999916370086185,26578,0,0.0
118,0.3673589507738749,-9200.47457930596,5.460332103321033,24,161655.0,18.173342658180516,41,0,0.5677594131203044,0.04999916370086185,26760,0,0.0
119,0.37688382069269816,-9239.234797566865,5.836753731343284,24,182708.0,19.565540153219885,40,0,0.5494218625909598,0.04999916370086185,26954,0,0.0
120,0.38778311014175415,-9620.379123143563,5.81155303030303,24,178782.0,19.959549527802928,38,0,0.5495429221157145,0.04999916370086185,27145,0,0.0
121,0.3901222149531047,-9241.264226032066,5.734200743494424,24,178400.0,19.614136261409932,47,0,0.5545831143748342,0.04999916370086185,27334,0,0.0
122,0.3314189871152242,-9853.163957221546,6.023076923076923,24,183179.0,19.690913841296773,50,0,0.5466629548491327,0.04999916370086185,27519,0,0.0
123,0.29092307488123575,-9417.082972219854,5.775665399239544,24,172858.0,19.04965886981222,42,0,0.5574941318604998,0.04999916370086185,27712,0,0.0
124,0.3017488201459249,-9407.339861402423,5.764150943396227,24,176698.0,19.15474929150654,44,0,0.5614816112470125,0.04999916370086185,27912,0,0.0
125,0.28994615077972413,-9540.0188986748,5.849806201550388,24,173378.0,19.087007679880884,48,0,0.5562171392536565,0.04999916370086185,28091,0,0.0
126,0.2902642011642456,-10017.885026221784,5.948076923076923,24,177840.0,19.09173246982792,52,0,0.5542484386545794,0.04999916370086185,28443,0,0.0
127,0.29945719639460244,-9438.175420014557,5.793636363636364,24,176522.0,18.72740712707161,39,0,0.5373936446062836,0.04999916370086185,28632,0,0.0
128,0.2946797768274943,-9251.923142984364,5.628759398496241,24,168352.0,18.63600108337215,47,0,0.5648917969798423,0.04999916370086185,28821,0,0.0
129,0.28654001553853353,-9402.226961477732,5.6226053639846745,24,167235.0,19.014323299631545,45,0,0.5852108076254087,0.04999916370086185,29015,0,0.0
130,0.28527382214864094,-9603.567656433714,5.783203125,24,176196.0,19.585523074538425,52,0,0.5803550951556311,0.04999916370086185,29196,0,0.0
131,0.3087014635403951,-8886.904780711551,5.621296296296296,24,170795.0,18.662517825628555,39,0,0.5671691193027811,0.04999916370086185,29388,0,0.0
132,0.28604989051818847,-9457.803855068378,5.597537878787879,24,172524.0,19.52842423392275,46,0,0.5656576977990936,0.04999916370086185,29590,0,0.0
133,0.2922795097033183,-9043.88742546931,5.698501872659176,24,178065.0,19.657665776251502,47,0,0.5686922331612889,0.04999916370086185,29772,0,0.0
134,0.2935044209162394,-9353.585474896772,5.92490494296578,24,180126.0,19.489764905313688,44,0,0.558712843493602,0.04999916370086185,29966,0,0.0
135,0.29054876168568927,-9345.81360758952,5.715094339622642,24,173017.0,19.377128016317716,50,0,0.5519212411403863,0.04999916370086185,30146,0,0.0
136,0.2945901155471802,-9715.116860918488,5.886278195488722,24,183101.0,19.91827485615213,47,0,0.5487617757786246,0.04999916370086185,30347,0,0.0
137,0.3068426847457886,-9738.374778157338,5.639846743295019,24,164086.0,18.368521155087432,38,0,0.5766445149858175,0.04999916370086185,30527,0,0.0
138,0.38573052883148196,-9484.445668554818,5.502830188679245,24,167147.0,18.552006581694485,47,0,0.5915069797996277,0.04999916370086185,30706,0,0.0
139,0.3819319248199463,-9684.77524953745,5.647900763358779,24,165523.0,18.393497147575385,42,0,0.572188389254136,0.04999916370086185,30882,0,0.0
140,0.383258048693339,-9199.07975786302,5.661596958174905,24,168555.0,18.523367453385656,44,0,0.5782904163618855,0.04999916370086185,31058,0,0.0
141,0.28936604658762616,-9912.312081797052,5.9462890625,24,171135.0,18.570493263272645,43,0,0.5660304092041116,0.04999916370086185,31255,0,0.0
142,0.29328233003616333,-8993.795742022283,5.58457249070632,24,174362.0,19.316402160639033,46,0,0.5635083934906231,0.04999916370086185,31445,0,0.0
143,0.29287283420562743,-9943.451561078766,5.828544061302682,24,177100.0,19.231257508606156,56,0,0.5648720966531666,0.04999916370086185,31631,0,0.0
144,0.2953647613525391,-10363.921046681427,6.1552734375,24,177841.0,18.615496614017076,44,0,0.5634356013500221,0.04999916370086185,31826,0,0.0
145,0.29189139207204184,-10258.71335300089,5.863549618320611,24,175765.0,18.994344795007258,52,0,0.5557901338190671,0.04999916370086185,31991,0,0.0
146,0.28890151977539064,-9907.08202715837,5.674242424242424,24,172375.0,19.22042527215911,46,0,0.5623373360013493,0.04999916370086185,32184,0,0.0
147,0.29835205475489296,-9692.15328759953,6.044507575757576,24,181098.0,19.282301777834594,42,0,0.5408671518813359,0.04999916370086185,32381,0,0.0
