Episode,Duration_Min,Total_Reward,Avg_Queue,Max_Queue,Avg_Waiting_Time,Avg_Speed,Throughput,Phase_Switches,Epsilon,Q_Table_Size
1,0.12429112990697225,-3475.820311692997,29.054054054054053,47,25.810047713329606,0.8722966208050132,160,75,0.5732736268885887,98
2,0.14336903095245362,-2845.9718825451587,34.723214285714285,53,27.379013118182,0.7988348440473675,178,64,0.326999438029567,186
3,0.13807390530904134,-3593.1422851178886,36.97345132743363,55,28.338781169312146,0.7560824758706607,201,62,0.18559023879528855,256
4,0.14500846862792968,-3305.941976021646,34.785714285714285,56,25.633824252996426,0.8105646773451998,167,66,0.10586201936274783,317
5,0.13851120869318645,-2287.0487488150397,35.75,54,26.388258679120685,0.7877225525874465,207,67,0.06038446427088321,357
6,0.14369839032491047,-2676.490031812697,35.205357142857146,53,25.687284982355916,0.7956324086092883,171,66,0.034443736736092176,403
7,0.14521313508351644,-2323.32408695443,36.660714285714285,53,25.201947581947902,0.7746791267032036,203,65,0.01964695745288379,430
8,0.14133166074752807,-3102.0943518601603,36.88495575221239,53,26.593845141586105,0.7673285702374641,205,63,0.011150733307840981,461
9,0.1408819834391276,-2613.607147652095,35.80357142857143,54,26.224937107037672,0.7822815199475525,219,64,0.00998645168764533,491
10,0.15665007034937542,-2437.506146823861,35.589285714285715,52,24.22407806360089,0.8025000044845607,176,66,0.00998645168764533,516
11,0.13919498523076376,-2338.602502057953,35.580357142857146,52,23.45720030229932,0.8017815360632341,186,67,0.00998645168764533,548
12,0.14918048779169718,-2602.56852055471,36.125,56,26.115702752661743,0.789231845360881,199,64,0.00998645168764533,573
13,0.14182127714157106,-2200.4805237863006,36.142857142857146,56,25.431918578695083,0.786421741623471,203,64,0.00998645168764533,593
14,0.15301001866658528,-2665.572516565523,35.00892857142857,53,25.440752100482012,0.8001469681707482,193,65,0.00998645168764533,620
15,0.15707006454467773,-2154.4996760592917,34.705357142857146,54,24.599369687820037,0.8069430671194665,206,64,0.00998645168764533,646
16,0.14649601777394614,-2663.439543125947,36.026785714285715,54,25.741171735321082,0.7843379501497417,180,64,0.00998645168764533,660
17,0.14870984156926473,-2275.1095481894345,34.526785714285715,52,25.058411568065942,0.8058832885299073,196,66,0.00998645168764533,680
18,0.13686079978942872,-2803.0748992136305,34.017857142857146,52,25.8324840792665,0.8063290451084565,186,65,0.00998645168764533,701
19,0.16148341099421185,-2269.6294490823793,34.598214285714285,54,24.044057831862826,0.8201617820998265,203,66,0.00998645168764533,726
20,0.15557993650436402,-2532.84763943454,33.642857142857146,52,23.201058532799625,0.8320848826518016,178,66,0.00998645168764533,741
21,0.1517749865849813,-2381.348477456618,33.982142857142854,53,23.180348003122965,0.8326646395774416,171,65,0.00998645168764533,765
22,0.16748451391855876,-2384.317139311562,35.294642857142854,58,24.468163955253317,0.8062078440306409,185,65,0.00998645168764533,781
23,0.15191446940104167,-2186.1352885525275,32.973214285714285,53,23.55881994640109,0.8374661457883155,193,66,0.00998645168764533,807
24,0.15527602831522624,-2905.571811103109,35.0,52,24.675901606256467,0.799087279646718,168,67,0.00998645168764533,818
25,0.1408983071645101,-2486.441187389582,31.642857142857142,51,23.23415773828423,0.849554050214131,186,68,0.00998645168764533,846
26,0.15454012155532837,-1832.9730954478352,34.651785714285715,54,23.471071902119785,0.8150409099682057,198,67,0.00998645168764533,853
27,0.14910932779312133,-1796.1226292346053,35.169642857142854,54,24.459907313848756,0.8117347814922784,195,65,0.00998645168764533,861
28,0.14893103043238323,-2496.6346858058355,35.285714285714285,56,24.647853561984526,0.8087223980262944,192,66,0.00998645168764533,878
29,0.15449164311091104,-2376.7247921407056,34.723214285714285,54,24.09525079423343,0.8122511373947352,168,65,0.00998645168764533,890
30,0.1373810052871704,-1916.8210708082686,31.5,53,21.711951053554838,0.8627773580010094,179,69,0.00998645168764533,917
31,0.1504076639811198,-2389.63584134411,32.419642857142854,52,23.032700163634843,0.834755567437253,185,69,0.00998645168764533,938
32,0.15453619559605916,-2227.592547378488,34.669642857142854,52,24.257295528021164,0.8147745436105173,168,64,0.00998645168764533,948
33,0.14686836004257203,-2340.898552654647,35.8125,56,25.377881393863586,0.7937727237607296,181,64,0.00998645168764533,962
34,0.1512223482131958,-1856.612943190574,33.705357142857146,54,22.88538323343397,0.8348901705117938,184,66,0.00998645168764533,979
35,0.14336049954096478,-2283.5930330318233,33.919642857142854,52,23.986958718618673,0.8244484952107696,175,64,0.00998645168764533,998
36,0.15007859071095783,-1801.300336305294,32.625,52,22.439172070384235,0.8465472382880144,180,68,0.00998645168764533,1014
37,0.15743865569432577,-2298.520327000298,35.6875,54,24.548810682447336,0.7976409814703264,203,67,0.00998645168764533,1017
38,0.1685568332672119,-2214.2945483823805,35.99107142857143,54,25.758017536197958,0.7912063082655095,212,64,0.00998645168764533,1022
39,0.14671403169631958,-2674.439565472177,34.482142857142854,54,25.534635155553442,0.8069630416788744,188,66,0.00998645168764533,1027
40,0.14188307921091717,-2436.8149199543004,32.50892857142857,54,24.89840557523155,0.8354923777053129,196,67,0.00998645168764533,1047
41,0.1532952109972636,-2391.493810696804,34.5625,55,24.824776273529316,0.7971910854017368,176,66,0.00998645168764533,1059
