Episode,Duration_Min,Total_Reward,Avg_Queue,Max_Queue,Avg_Waiting_Time,Avg_Speed,Throughput,Phase_Switches,Epsilon,Q_Table_Size
1,0.19112250804901124,-4650.087668463682,33.25806451612903,48,24.1852273809863,0.7978709844844813,204,109,0.4598090507939749,32
2,0.2180282711982727,-3068.4168122399296,35.11538461538461,53,18.761533094033805,0.7989684961807375,225,98,0.21036724137609603,52
3,0.20518537362416586,-3133.6448941999265,30.309677419354838,47,14.945957141111164,0.8655645253038158,215,107,0.09672876157528969,53
4,0.19636948108673097,-2075.7143598374296,29.16025641025641,41,13.637686195971183,0.8900056150749003,192,92,0.04425437624418858,56
5,0.18675492207209268,-3066.0799728326065,28.0974025974026,47,12.843385872840921,0.9340622873592129,190,115,0.020450816818411825,58
6,0.19738418658574422,-1896.8066921745128,31.36774193548387,54,14.401596384438257,0.8754744284413666,208,109,0.00998645168764533,63
7,0.18715780178705851,-2209.4807659217395,28.318181818181817,44,14.469291668162427,0.91214961407463,209,110,0.00998645168764533,66
8,0.18485408226648967,-3150.8488273964576,30.954545454545453,48,15.282855249489927,0.8700775478175349,211,119,0.00998645168764533,66
9,0.19091655015945436,-2865.585825991833,29.792207792207794,53,15.042863498916097,0.8994620677170383,189,118,0.00998645168764533,70
10,0.2024207870165507,-2397.5490659718685,34.92156862745098,56,14.889027825278871,0.8343827139418851,193,124,0.00998645168764533,73
11,0.21117783387502034,-2425.4614324206536,32.92156862745098,51,16.117506106904045,0.8504761403271526,189,129,0.00998645168764533,73
12,0.2119377891222636,-2671.186590682173,33.28662420382165,52,15.14696300487088,0.8322018956771886,210,86,0.00998645168764533,75
13,0.18095299005508422,-3439.3494492997684,26.219354838709677,41,13.94001049685053,0.9524020305416787,226,107,0.00998645168764533,76
14,0.22057723999023438,-2630.5351346593593,36.55844155844156,60,16.969565589351514,0.8053033306227867,188,113,0.00998645168764533,81
15,0.22701989809672038,-2143.536003119705,33.47741935483871,53,15.339885043555554,0.838047205482314,225,107,0.00998645168764533,85
16,0.24241543610890706,-1217.5722289161858,33.04575163398693,50,12.892897375264816,0.8514260816766815,194,123,0.00998645168764533,88
17,0.22297246058781942,-1729.5833822204772,30.15483870967742,48,12.986223437501604,0.8947595473785496,188,105,0.00998645168764533,90
18,0.20009028911590576,-2853.5867932073515,30.538961038961038,51,17.160332564371668,0.8836810235195667,193,113,0.00998645168764533,96
19,0.22337470849355062,-2692.141303789279,29.870967741935484,49,14.61176092846041,0.9045504019397499,199,108,0.00998645168764533,97
20,0.19233690897623698,-2537.774998160392,29.058441558441558,47,15.231582327446628,0.9035424015759357,207,118,0.00998645168764533,98
21,0.21509350935618082,-1715.2754710016834,34.967320261437905,51,13.419542453071033,0.8222304344068576,210,129,0.00998645168764533,102
22,0.21812646786371867,-1384.5991043579038,36.88235294117647,56,14.530930228913782,0.803496440276234,231,126,0.00998645168764533,105
23,0.22746628125508625,-1616.0199021843946,40.0,58,15.268552950731035,0.754681291472437,215,131,0.00998645168764533,105
24,0.20887762308120728,-1852.6805862692136,32.95424836601307,49,12.900060624359702,0.8585933197648407,219,129,0.00998645168764533,107
25,0.20110257863998413,-2262.035452109587,31.26143790849673,49,14.044022901729367,0.8754626252353915,216,129,0.00998645168764533,113
26,0.20671270291010538,-1302.3711591796425,32.2,54,13.081587175294366,0.8755572383022217,184,106,0.00998645168764533,114
27,0.17726593017578124,-2314.20326322551,25.326797385620914,45,12.53069723095903,0.9857592921032764,218,121,0.00998645168764533,114
28,0.2086278756459554,-938.2151344759825,35.148387096774194,56,15.727225667598782,0.8146062538259294,210,100,0.00998645168764533,114
29,0.17031330664952596,-2631.532187482965,26.785714285714285,47,13.960816698972362,0.9358345012807073,234,119,0.00998645168764533,114
30,0.21836320161819459,-1253.3511601826895,36.205128205128204,55,14.89735536035711,0.8049993770305431,207,99,0.00998645168764533,114
31,0.20293181737263996,-1828.7608963429745,32.509803921568626,53,13.408394496310644,0.8556826518567388,198,121,0.00998645168764533,115
32,0.2000386397043864,-1499.3356378168194,31.474358974358974,53,14.731506134923421,0.8917318202681912,222,96,0.00998645168764533,118
33,0.18469313383102418,-1465.4155903339135,30.62420382165605,50,13.19667147174884,0.8908612833168543,192,88,0.00998645168764533,119
34,0.20610902309417725,-1332.7035718856378,34.57324840764331,53,14.870458192956587,0.8272389585927035,224,82,0.00998645168764533,119
35,0.19679805040359497,-1848.2522412614653,35.57051282051282,55,15.223989200055126,0.8042249922235789,243,99,0.00998645168764533,120
36,0.20132818619410198,-1600.2000332202554,33.6,54,15.096240182900479,0.8380629546605131,204,109,0.00998645168764533,120
37,0.19605565865834554,-2046.9998453934459,35.45161290322581,53,14.720569458716314,0.8002585886587772,220,100,0.00998645168764533,122
38,0.19598082701365152,-1071.7336146486753,31.43225806451613,54,13.908525713966283,0.8884326180613207,221,101,0.00998645168764533,122
39,0.20389101902643839,-3011.8261659528184,30.662337662337663,53,15.798612672537304,0.8737585633853157,205,111,0.00998645168764533,122
40,0.2304970661799113,-1855.4454394086897,30.51298701298701,53,15.8146224687256,0.8868081832859366,210,110,0.00998645168764533,122
41,0.23731659253438314,-2584.773825214418,30.587096774193547,51,15.510216458807747,0.8819364793698131,199,109,0.00998645168764533,122
42,0.20364010731379192,-2984.1578272019783,30.857142857142858,52,14.140979635862248,0.8859984715553281,195,112,0.00998645168764533,122
43,0.19180073738098144,-3251.8804473614355,30.727272727272727,47,16.5727685761477,0.8712455195036248,220,118,0.00998645168764533,122
44,0.18934799432754518,-2871.4412790918964,33.774193548387096,55,16.98549829110542,0.82269208957578,191,101,0.00998645168764533,122
45,0.2008236845334371,-3650.7443367562973,31.38562091503268,45,17.66722954868521,0.8468177253047793,213,128,0.00998645168764533,122
46,0.21657584905624389,-2584.67184557688,27.764705882352942,45,14.653804798422636,0.9244855395602904,196,126,0.00998645168764533,122
47,0.22374600569407146,-2035.498829518181,34.45454545454545,51,18.062655148352185,0.8130106068306124,207,115,0.00998645168764533,122
48,0.22931586503982543,-2297.393615441238,33.091503267973856,54,14.026001680763656,0.8574581239022245,210,121,0.00998645168764533,122
49,0.2238400936126709,-1287.4606708309846,35.05128205128205,54,15.468466720858597,0.8059394709787454,233,92,0.00998645168764533,122
50,0.20792542298634847,-1759.2557757086724,34.87898089171974,53,14.274374041225792,0.8174088448967802,189,86,0.00998645168764533,122
51,0.23441732327143353,-1438.8107934166753,34.66883116883117,54,14.417653503563418,0.8189491437951618,252,120,0.00998645168764533,122
52,0.19476720889409382,-1568.332105508418,27.758169934640524,46,13.950130990996918,0.9319051931137616,227,125,0.00998645168764533,122
53,0.22424580653508505,-1833.8967162509018,32.02614379084967,53,17.27985560969906,0.8541655043977963,214,128,0.00998645168764533,122
54,0.18071235020955403,-2533.7971333929945,29.65359477124183,43,17.313153094350735,0.886677585890794,226,130,0.00998645168764533,122
55,0.18953133821487428,-2040.5933397569363,28.856209150326798,40,15.703632514542566,0.9068009843103896,205,129,0.00998645168764533,122
56,0.17485803763071697,-3033.751055983706,28.967532467532468,42,16.804950499261377,0.8887385404946945,209,120,0.00998645168764533,122
57,0.2001094619433085,-1814.3182908012332,33.24183006535948,50,13.496905504473949,0.8519734817093437,192,124,0.00998645168764533,122
58,0.1939806381861369,-1378.2287729345132,35.14473684210526,51,13.969035974121724,0.8167349523738019,209,131,0.00998645168764533,122
59,0.20492336352666218,-1452.420920613972,31.585526315789473,49,13.140530756215243,0.8751073028527094,224,130,0.00998645168764533,122
60,0.1952366590499878,-1735.3945748609838,28.65359477124183,45,12.55031656343585,0.9211737902052071,223,126,0.00998645168764533,124
61,0.20330425103505453,-723.6817055290244,34.89102564102564,52,14.257378483427589,0.8287514557039748,197,94,0.00998645168764533,125
62,0.2553019205729167,-903.4804247645162,38.33974358974359,57,14.831478806502991,0.7706968983206619,222,100,0.00998645168764533,125
63,0.19785045385360717,-1327.4195648247087,34.85806451612903,55,14.3163615517464,0.8318922762249916,207,103,0.00998645168764533,125
64,0.20531771580378214,-1567.6352106911377,34.455128205128204,53,15.201332557935524,0.8247671396051703,248,93,0.00998645168764533,125
65,0.2009182612101237,-1203.3721347248522,36.25,53,14.290710054624848,0.7951123059686755,199,92,0.00998645168764533,125
66,0.18335658311843872,-1731.3187305979927,31.48051948051948,49,13.389903142470981,0.872228172436901,190,118,0.00998645168764533,125
