Episode,Duration_Min,Total_Reward,Avg_Queue,Max_Queue,Avg_Waiting_Time,Avg_Speed,Throughput,Phase_Switches,Epsilon,Q_Table_Size
1,83.33333333333333,-3042.5606698673573,18.852564102564102,30,16.45182238279332,1.0246498294993616,180,100,0.00998645168764533,148
2,83.33333333333333,-2829.3782737949937,22.94267515923567,39,14.782335219974675,0.9329164009429205,187,98,0.00998645168764533,150
3,83.33333333333333,-2747.7272901990173,18.01290322580645,34,14.28413616025598,1.0568886907373891,195,116,0.00998645168764533,150
4,83.33333333333333,-2068.2422809241757,15.688311688311689,29,11.493061152630448,1.134129692887625,182,122,0.00998645168764533,150
5,83.33333333333333,-2669.95678842856,15.816993464052288,26,12.905191485369068,1.1082240243082881,176,134,0.00998645168764533,150
6,83.33333333333333,-2516.4284337239333,15.85064935064935,28,12.729202078864104,1.114783419070686,174,125,0.00998645168764533,150
7,83.33333333333333,-2766.7101303099353,16.07792207792208,32,12.692447789763644,1.1095604610794436,181,127,0.00998645168764533,150
8,83.33333333333333,-1859.3395633092182,15.148387096774194,26,11.707513494929424,1.1382218298861846,198,119,0.00998645168764533,150
9,83.33333333333333,-2301.4780111976474,15.603896103896103,27,11.568873664898232,1.127608110608141,201,126,0.00998645168764533,150
10,83.33333333333333,-2708.063775024404,16.923076923076923,29,13.340762207322223,1.0874355268264502,181,100,0.00998645168764533,150
11,83.33333333333333,-2780.467790668105,16.337662337662337,28,12.74891108632519,1.0938811184042165,167,123,0.00998645168764533,152
12,83.33333333333333,-2352.8952012348777,15.032679738562091,26,11.019044673937529,1.1377895861678515,176,137,0.00998645168764533,152
13,83.33333333333333,-2258.3622304302107,15.986928104575163,28,12.084159567236114,1.1139182210373422,177,130,0.00998645168764533,152
14,83.33333333333333,-2608.139447689741,16.324675324675326,26,13.079488372394485,1.0983460532535452,182,129,0.00998645168764533,152
15,83.33333333333333,-2542.18054950981,15.69032258064516,24,12.080766149990152,1.122757939590243,189,117,0.00998645168764533,152
16,83.33333333333333,-3545.567519554841,22.50955414012739,44,13.433154042513955,0.9684149737655832,182,97,0.00998645168764533,153
17,83.33333333333333,-3806.2482842057448,25.283870967741937,42,13.469011874167755,0.9076289445372474,176,116,0.00998645168764533,155
18,83.33333333333333,-3597.9128967437937,26.696774193548386,40,14.29557422422664,0.8601642062039266,188,120,0.00998645168764533,156
19,83.33333333333333,-4078.0469437778775,26.096774193548388,46,14.376058841830243,0.893500474271794,186,111,0.00998645168764533,156
20,83.33333333333333,-2332.0654504412532,16.516129032258064,32,12.482189816328267,1.0984587352066957,209,115,0.00998645168764533,156
