Episode,Duration_Min,Total_Reward,Avg_Queue,Max_Queue,Avg_Waiting_Time,Avg_Speed,Throughput,Phase_Switches,Epsilon,Q_Table_Size
1,83.33333333333333,-2081.7116985198318,13.96875,26,13.093931986918653,1.0535859939263337,221,61,0.00998645168764533,151
2,83.33333333333333,-1050.8317692095982,12.098159509202453,21,11.274427197295264,1.1404000232895308,239,36,0.00998645168764533,153
3,83.33333333333333,-1323.8075887944733,12.803680981595091,24,12.362177467939432,1.1000378743934698,228,32,0.00998645168764533,153
4,83.33333333333333,-1265.3989862920857,13.024390243902438,22,11.840768949468195,1.0838291250207994,239,20,0.00998645168764533,153
5,83.33333333333333,-1740.909779216398,13.14375,24,12.275173713010961,1.0728867851418231,234,61,0.00998645168764533,153
6,83.33333333333333,-2180.955001425399,13.93167701863354,23,13.239445693652392,1.0409714680194113,229,57,0.00998645168764533,153
7,83.33333333333333,-1034.319880653284,12.76875,22,10.32111776600762,1.097872865008154,249,60,0.00998645168764533,153
8,83.33333333333333,-1596.5006536896133,12.571428571428571,23,10.8189961353817,1.0990209703795037,240,54,0.00998645168764533,153
9,83.33333333333333,-1156.5413890452842,12.26086956521739,22,10.233771398690982,1.1253932174831314,247,57,0.00998645168764533,153
10,83.33333333333333,-1374.9433175036422,12.850931677018634,21,10.609347315911988,1.0889467626774036,250,54,0.00998645168764533,153
11,83.33333333333333,-1690.3567072635806,13.382716049382717,25,12.1541442903037,1.0741902463774378,252,42,0.00998645168764533,153
12,83.33333333333333,-1312.023899099041,13.576687116564417,23,11.920053559948306,1.0726935182600026,254,36,0.00998645168764533,153
13,83.33333333333333,-1634.753780101179,12.75625,21,10.918335892631337,1.0993468875287775,229,61,0.00998645168764533,153
14,83.33333333333333,-1402.1595135468203,13.091463414634147,21,11.652966613368768,1.084748013285996,240,24,0.00998645168764533,153
15,83.33333333333333,-1303.7692804295766,13.439024390243903,24,12.09947225529116,1.064295575243118,258,21,0.00998645168764533,153
16,83.33333333333333,-1447.8028148337544,13.177914110429448,26,11.558986192699225,1.0772562295042936,247,30,0.00998645168764533,153
17,83.33333333333333,-1610.6171226937677,13.363636363636363,23,12.099066939313717,1.0713008532172317,238,14,0.00998645168764533,153
18,83.33333333333333,-1386.4295960817922,12.926829268292684,24,11.213309281273341,1.0986180694892556,241,21,0.00998645168764533,153
19,83.33333333333333,-1207.6534961421241,13.220858895705522,22,11.91401625458683,1.0792731355435472,254,37,0.00998645168764533,153
20,83.33333333333333,-1204.272328205529,12.981818181818182,21,11.573354980120186,1.0858772982528877,256,17,0.00998645168764533,153
