Episode,Duration_Min,Total_Reward,Avg_Queue,Max_Queue,Avg_Waiting_Time,Avg_Speed,Throughput,Phase_Switches,Epsilon,Q_Table_Size
1,0.21548316876093546,-4981.267377268334,30.677419354838708,47,22.891652870258973,0.837665375343084,196,105,0.4598090507939749,155
2,0.2485672156016032,-3398.117564489924,28.949367088607595,42,16.599422945573764,0.8866760259056181,266,71,0.20826882814336947,313
3,0.25311447779337565,-3720.7630170696625,26.166666666666668,43,14.246747446995128,0.9466963872164602,201,38,0.09246201511725258,475
4,0.2591231346130371,-3612.8952117125846,25.736196319018404,41,13.92287984869501,0.9539313732212309,227,26,0.04084374120782771,638
5,0.2218015988667806,-807.7233930351309,21.67105263157895,38,8.873592867503802,1.0696674533145933,189,133,0.019064867404770626,790
6,0.22834360599517822,-801.8354122569497,21.549668874172184,35,9.052822906052375,1.065947014618842,199,142,0.00998645168764533,941
7,0.2464235742886861,-677.0288956468697,21.901315789473685,37,9.21707971518337,1.0601947651925276,213,140,0.00998645168764533,1093
8,0.24714786609013875,-543.4133069646227,21.348684210526315,36,8.705728465148901,1.0786049702473528,210,140,0.00998645168764533,1245
9,0.2584885160128276,-357.5262590444322,22.92763157894737,43,9.076598317216977,1.0511114892574298,210,133,0.00998645168764533,1397
10,0.2485784610112508,-574.2274528446694,21.098684210526315,35,8.566491870284613,1.084917685369316,218,140,0.00998645168764533,1549
11,0.25251041253407797,-489.0751686801645,22.355263157894736,38,9.004310816248296,1.0554455284285753,231,140,0.00998645168764533,1701
12,0.2474974830945333,-489.36532118678576,22.251655629139073,36,8.89022357568279,1.0599039513938378,213,141,0.00998645168764533,1852
13,0.2518279711405436,-272.20831144789946,22.276315789473685,35,8.956753585769047,1.05887329448608,229,140,0.00998645168764533,2004
14,0.2503633220990499,-570.1969614433335,22.24342105263158,37,9.032244458943474,1.0577400679868978,209,133,0.00998645168764533,2156
15,0.24985977013905844,-593.9196567501451,21.82894736842105,35,8.960659320387373,1.066317428566025,214,138,0.00998645168764533,2308
16,0.2469935139020284,-539.380230935526,22.072847682119207,37,8.946373650491015,1.0631268212186389,219,142,0.00998645168764533,2459
17,0.2844920833905538,-543.7020654858513,21.84967320261438,39,9.112587808927682,1.0713720143880687,220,128,0.00998645168764533,2612
18,0.2526233434677124,-592.4763780909535,21.50657894736842,36,8.691182084618433,1.081325924640219,200,131,0.00998645168764533,2764
19,0.24739336967468262,-465.6270894689269,21.848684210526315,35,8.881935727745871,1.0676856199038738,223,133,0.00998645168764533,2916
20,0.24356661637624105,-581.7761241784647,21.741721854304636,36,8.73741509354042,1.0702302374007655,218,140,0.00998645168764533,3067
21,0.24949500958124796,-718.6192182921756,21.592105263157894,36,8.74530245084249,1.0758362964678196,221,133,0.00998645168764533,3219
22,0.2405858556429545,-579.1586131693556,21.105263157894736,35,8.580065858079823,1.0835739756781984,198,132,0.00998645168764533,3371
23,0.24944719870885212,-546.122262780118,21.24342105263158,35,8.591510210877729,1.0792143572103465,198,140,0.00998645168764533,3523
24,0.24280725717544555,-387.21621052578985,21.09271523178808,34,8.414612377044197,1.0837592724993523,195,145,0.00998645168764533,3674
25,0.23691348234812418,-366.9793590005768,21.1523178807947,34,8.499559527463832,1.0828524263940917,190,148,0.00998645168764533,3825
26,0.23736721674601238,-379.12908963129,21.08609271523179,34,8.442614985780866,1.084383644117109,193,145,0.00998645168764533,3976
