Episode,Duration_Min,Total_Reward,Avg_Queue,Max_Queue,Avg_Waiting_Time,Avg_Speed,Throughput,Phase_Switches,Epsilon,Q_Table_Size
1,83.33333333333333,-3604.411212728241,24.326923076923077,39,11.191065900490234,0.9301490375946756,135,106,0.00998645168764533,156
2,83.33333333333333,-3441.9717676868154,25.096153846153847,40,11.525648381377819,0.9039521936406123,149,106,0.00998645168764533,312
3,83.33333333333333,-3043.4628880835276,23.791411042944784,35,12.982777484725503,0.9258188273619657,169,38,0.00998645168764533,475
4,83.33333333333333,-3198.6920838139363,23.842424242424244,34,13.301827002101279,0.9231428334605312,170,18,0.00998645168764533,640
5,83.33333333333333,-2750.081116276333,18.70909090909091,32,11.776513913114451,1.0410284181919627,176,12,0.00998645168764533,805
6,83.33333333333333,-3882.492047555376,16.355828220858896,23,16.00655949530664,1.0859107322062365,178,34,0.00998645168764533,968
7,83.33333333333333,-2965.1417952315574,17.424242424242426,27,12.30947497030173,1.0713179928357102,188,16,0.00998645168764533,1133
8,83.33333333333333,-3564.715951916744,16.817073170731707,26,13.38001291606149,1.0872359018863327,160,24,0.00998645168764533,1297
9,83.33333333333333,-3457.2514261132515,17.932515337423315,29,15.765178239195178,1.0461747493300027,170,30,0.00998645168764533,1460
10,83.33333333333333,-3397.913473795906,18.26219512195122,28,13.851520049188615,1.0454399362927012,184,22,0.00998645168764533,1624
11,83.33333333333333,-3256.9922221410793,17.091463414634145,28,14.264635553317946,1.0740134730913706,190,28,0.00998645168764533,1788
12,83.33333333333333,-4005.803520203322,17.290123456790123,25,17.756208311016785,1.056284140660581,189,42,0.00998645168764533,1950
13,83.33333333333333,-5041.526577479606,16.94375,24,26.064007476195325,1.0477844951880069,183,62,0.00998645168764533,2110
14,83.33333333333333,-4059.6364131433943,16.45679012345679,25,18.84494890565792,1.075430133513019,184,44,0.00998645168764533,2272
15,83.33333333333333,-3304.383619979756,17.43558282208589,29,17.171579233460655,1.0616308326807384,197,30,0.00998645168764533,2435
16,83.33333333333333,-2846.1634210559996,19.903030303030302,31,12.766780700198048,1.010487284497263,181,16,0.00998645168764533,2600
17,83.33333333333333,-2551.0710414982677,23.539877300613497,37,13.215176387354013,0.9289381667720038,167,33,0.00998645168764533,2763
18,83.33333333333333,-2266.5041202610887,25.55625,40,13.888910643976704,0.873652780166567,175,62,0.00998645168764533,2923
19,83.33333333333333,-3109.6544642680706,22.713414634146343,38,13.461493473747213,0.946450492127008,184,28,0.00998645168764533,3087
20,83.33333333333333,-1842.7888031505133,25.58490566037736,38,13.351010860638644,0.8728366609895367,175,78,0.00998645168764533,3246
